age,default,balance,housing,loan,previously_success,cluster
58.000000000000014,no,2143.0,yes,no,no,2
44.000000000000014,no,28.99999999999999,yes,no,no,2
33.00000000000001,no,1.9999999999999982,yes,yes,no,3
35.0,no,230.99999999999997,yes,no,no,2
28.000000000000004,no,446.9999999999995,yes,yes,no,3
41.99999999999998,yes,1.9999999999999982,yes,no,no,2
58.000000000000014,no,121.00000000000013,yes,no,no,2
42.99999999999999,no,593.0000000000013,yes,no,no,2
40.999999999999986,no,270.00000000000006,yes,no,no,2
29.000000000000004,no,389.99999999999966,yes,no,no,2
53.00000000000001,no,5.9999999999999964,yes,no,no,2
56.999999999999986,no,161.99999999999986,yes,no,no,2
51.00000000000001,no,229.00000000000006,yes,no,no,2
56.999999999999986,no,51.999999999999936,yes,no,no,2
60.00000000000001,no,59.99999999999995,yes,no,no,2
33.00000000000001,no,0.0,yes,no,no,2
28.000000000000004,no,722.9999999999991,yes,yes,no,3
56.00000000000001,no,778.9999999999994,yes,no,no,2
32.000000000000014,no,23.000000000000025,yes,yes,no,3
25.000000000000004,no,50.00000000000002,yes,no,no,2
40.00000000000002,no,0.0,yes,yes,no,3
44.000000000000014,no,-372.00000000000017,yes,no,no,2
39.0,no,254.99999999999994,yes,no,no,2
52.00000000000001,no,112.99999999999993,yes,yes,no,3
45.99999999999999,no,-246.00000000000006,yes,no,no,2
35.99999999999999,no,265.0000000000002,yes,yes,no,3
56.999999999999986,no,839.0,no,yes,no,0
48.99999999999997,no,378.0,yes,no,no,2
60.00000000000001,no,39.000000000000014,yes,yes,no,3
58.999999999999986,no,0.0,yes,no,no,2
51.00000000000001,no,10635.000000000004,yes,no,no,2
56.999999999999986,no,62.99999999999992,yes,no,no,2
25.000000000000004,no,-6.999999999999995,yes,no,no,2
53.00000000000001,no,-3.0,no,no,no,1
35.99999999999999,no,505.9999999999997,yes,no,no,2
36.99999999999999,no,0.0,yes,no,no,2
44.000000000000014,no,2586.000000000001,yes,no,no,2
50.0,no,49.00000000000004,yes,no,no,2
54.000000000000014,no,529.0,yes,no,no,2
35.99999999999999,no,-171.0000000000001,yes,no,no,2
58.000000000000014,no,-364.0,yes,no,no,2
44.000000000000014,no,0.0,yes,no,no,2
55.00000000000002,no,0.0,no,no,no,1
29.000000000000004,no,0.0,yes,no,no,2
54.000000000000014,no,1291.0000000000011,yes,no,no,2
47.99999999999997,no,-244.0000000000001,yes,no,no,2
32.000000000000014,no,0.0,yes,no,no,2
41.99999999999998,no,-76.00000000000001,yes,no,no,2
23.999999999999996,no,-102.99999999999999,yes,yes,no,3
37.99999999999999,no,243.00000000000006,no,yes,no,0
37.99999999999999,no,424.0000000000005,yes,no,no,2
45.99999999999999,no,178.99999999999986,yes,no,no,2
32.000000000000014,no,0.0,yes,no,no,2
53.00000000000001,no,989.0000000000009,yes,no,no,2
56.999999999999986,no,248.99999999999946,yes,no,no,2
33.00000000000001,no,790.0000000000003,yes,no,no,2
51.00000000000001,no,6530.000000000002,yes,no,no,2
60.00000000000001,no,100.00000000000011,no,no,no,1
58.999999999999986,no,58.99999999999993,yes,no,no,2
55.00000000000002,no,1205.0000000000016,yes,no,no,2
35.0,no,12223.000000000007,yes,yes,no,3
56.999999999999986,no,5935.000000000006,yes,yes,no,3
31.0,no,25.000000000000004,yes,yes,no,3
54.000000000000014,no,282.0000000000003,yes,yes,no,3
55.00000000000002,no,23.000000000000025,yes,no,no,2
42.99999999999999,no,1937.000000000004,yes,no,no,2
53.00000000000001,no,384.00000000000085,yes,no,no,2
44.000000000000014,no,581.9999999999999,no,yes,no,0
55.00000000000002,no,91.00000000000001,no,no,no,1
48.99999999999997,no,0.0,yes,yes,no,3
55.00000000000002,yes,0.9999999999999989,yes,no,no,2
45.0,no,206.0000000000001,yes,no,no,2
46.999999999999986,no,163.99999999999966,no,no,no,1
41.99999999999998,no,690.0000000000008,yes,no,no,2
58.999999999999986,no,2342.9999999999995,yes,no,no,2
45.99999999999999,no,136.99999999999994,yes,yes,no,3
51.00000000000001,no,172.99999999999986,yes,no,no,2
56.00000000000001,no,45.00000000000004,no,no,no,1
40.999999999999986,no,1269.999999999999,yes,no,no,2
45.99999999999999,no,15.999999999999993,yes,yes,no,3
